Alle: 2353	1: 16	2: 76	3: 587	4: 480	5: 14
Alle: 2338	1: 19	2: 80	3: 587	4: 462	5: 17
Alle: 2342	1: 16	2: 76	3: 584	4: 459	5: 12
Alle: 2210	1: 16	2: 105	3: 648	4: 334	5: 14
Alle: 2012	1: 19	2: 163	3: 716	4: 176	5: 17
Alle: 1692	1: 0	2: 387	3: 621	4: 59	5: 17
Alle: 1485	1: 0	2: 564	3: 533	4: 38	5: 17
Alle: 1384	1: 2	2: 708	3: 442	4: 20	5: 0
Alle: 1369	1: 0	2: 708	3: 415	4: 20	5: 0
Alle: 1360	1: 19	2: 737	3: 415	4: 36	5: 14
Alle: 1316	1: 16	2: 766	3: 354	4: 18	5: 14
Alle: 1316	1: 21	2: 772	3: 358	4: 20	5: 19
Alle: 1326	1: 16	2: 737	3: 358	4: 18	5: 14
Alle: 1357	1: 16	2: 733	3: 408	4: 16	5: 12
Alle: 1356	1: 0	2: 737	3: 408	4: 18	5: 14
Alle: 1418	1: 0	2: 365	3: 263	4: 16	5: 17
Alle: 0	1: 0	2: 0	3: 0	4: 0	5: 17
Alle: 0	1: 9	2: 0	3: 3	4: 0	5: 0
Alle: 0	1: 2	2: 0	3: 3	4: 0	5: 0
Alle: 0	1: 4	2: 3	3: 0	4: 2	5: 0
Alle: 0	1: 2	2: 0	3: 3	4: 0	5: 19
Alle: 0	1: 4	2: 0	3: 6	4: 4	5: 0
Alle: 0	1: 0	2: 0	3: 0	4: 0	5: 17
Alle: 0	1: 0	2: 0	3: 0	4: 0	5: 17
Alle: 0	1: 0	2: 0	3: 0	4: 0	5: 17
Alle: 0	1: 21	2: 0	3: 0	4: 0	5: 0
Alle: 0	1: 26	2: 25	3: 0	4: 0	5: 17
Alle: 0	1: 19	2: 22	3: 27	4: 16	5: 37
Alle: 0	1: 0	2: 0	3: 0	4: 0	5: 17
Alle: 0	1: 23	2: 3	3: 3	4: 2	5: 42
Alle: 0	1: 0	2: 0	3: 0	4: 0	5: 17
Alle: 0	1: 23	2: 28	3: 3	4: 20	5: 42
Alle: 1318	1: 16	2: 653	3: 81	4: 16	5: 57
Alle: 1116	1: 21	2: 657	3: 87	4: 2	5: 17
Alle: 1086	1: 19	2: 573	3: 54	4: 16	5: 14
Alle: 1094	1: 19	2: 544	3: 57	4: 18	5: 14
Alle: 1000	1: 2	2: 256	3: 33	4: 2	5: 19
Alle: 0	1: 2	2: 0	3: 3	4: 0	5: 19
Alle: 0	1: 26	2: 3	3: 6	4: 2	5: 0
Alle: 0	1: 212	2: 0	3: 0	4: 0	5: 0
Alle: 0	1: 562	2: 3	3: 3	4: 2	5: 0
Alle: 0	1: 708	2: 0	3: 0	4: 0	5: 17
Alle: 0	1: 837	2: 0	3: 0	4: 0	5: 17
Alle: 0	1: 837	2: 3	3: 6	4: 2	5: 19
Alle: 0	1: 842	2: 0	3: 3	4: 0	5: 17
Alle: 0	1: 796	2: 3	3: 3	4: 2	5: 19
Alle: 0	1: 748	2: 0	3: 0	4: 0	5: 17
Alle: 0	1: 2	2: 3	3: 3	4: 2	5: 0
Alle: 0	1: 0	2: 0	3: 0	4: 0	5: 0
Alle: 0	1: 4	2: 0	3: 0	4: 0	5: 0
Alle: 0	1: 2	2: 0	3: 0	4: 0	5: 19
Alle: 0	1: 2	2: 3	3: 3	4: 2	5: 0
Alle: 0	1: 86	2: 0	3: 0	4: 0	5: 0
Alle: 0	1: 150	2: 0	3: 0	4: 0	5: 19
Alle: 0	1: 389	2: 0	3: 3	4: 0	5: 17
Alle: 0	1: 863	2: 0	3: 3	4: 0	5: 39
Alle: 0	1: 454	2: 0	3: 0	4: 0	5: 17
Alle: 0	1: 2	2: 0	3: 0	4: 0	5: 0
Alle: 0	1: 2	2: 115	3: 3	4: 2	5: 19
Alle: 1121	1: 2	2: 660	3: 91	4: 2	5: 19
Alle: 1500	1: 2	2: 560	3: 560	4: 41	5: 19
Alle: 1757	1: 21	2: 336	3: 655	4: 77	5: 14
Alle: 2824	1: 0	2: 25	3: 148	4: 695	5: 37
Alle: 3000	1: 0	2: 0	3: 27	4: 203	5: 14
Alle: 4000	1: 0	2: 0	3: 3	4: 38	5: 44
Alle: 4000	1: 0	2: 0	3: 0	4: 18	5: 37
Alle: 4000	1: 4	2: 3	3: 6	4: 22	5: 22
